Single_Public_LB,all_valid_metric,mean_valid_metric,run_id,num_classes,output_path,train_data,epochs,folds,train_batch_size,valid_batch_size,test_batch_size,use_amp,model_name,model_custom_header,max_length,dropout,mixout,init_layer,learning_rate,scheduler_name,min_lr,T_max,weight_decay,n_accumulate,remark,save_checkpoint,seed
,0.550427,0.547982,bert-base-whm_cat4_batch4_acc8_seed0,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/bert-base-whm_cat4_batch4_acc8_seed0/,raw,6,5,4,64,64,True,cl-tohoku/bert-base-japanese-whole-word-masking,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,0
,0.549645,0.546217,bert-base-whm_cat4_batch4_acc8_seed1,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/bert-base-whm_cat4_batch4_acc8_seed1/,raw,6,5,4,64,64,True,cl-tohoku/bert-base-japanese-whole-word-masking,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,1
,0.535316,0.532152,bert-base-whm_cat4_batch4_acc8_seed2,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/bert-base-whm_cat4_batch4_acc8_seed2/,raw,6,5,4,64,64,True,cl-tohoku/bert-base-japanese-whole-word-masking,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,2
,0.536122,0.523735,bert-base-whm_cat4_batch4_acc8_seed3,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/bert-base-whm_cat4_batch4_acc8_seed3/,raw,6,5,4,64,64,True,cl-tohoku/bert-base-japanese-whole-word-masking,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,3
,0.535156,0.520508,bert-base-whm_cat4_batch4_acc8_seed4,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/bert-base-whm_cat4_batch4_acc8_seed4/,raw,6,5,4,64,64,True,cl-tohoku/bert-base-japanese-whole-word-masking,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,4
,0.513619,0.507765,bert-base-whm_cat4_batch4_acc8_seed5,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/bert-base-whm_cat4_batch4_acc8_seed5/,raw,6,5,4,64,64,True,cl-tohoku/bert-base-japanese-whole-word-masking,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,5
,0.468172,0.467055,bert-base-whm_cat4_batch4_acc8_seed6,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/bert-base-whm_cat4_batch4_acc8_seed6/,raw,6,5,4,64,64,True,cl-tohoku/bert-base-japanese-whole-word-masking,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,6
,0.494118,0.492769,bert-base-whm_cat4_batch4_acc8_seed7,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/bert-base-whm_cat4_batch4_acc8_seed7/,raw,6,5,4,64,64,True,cl-tohoku/bert-base-japanese-whole-word-masking,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,7
,0.55597,0.548508,bert-base-whm_cat4_batch4_acc8_seed8,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/bert-base-whm_cat4_batch4_acc8_seed8/,raw,6,5,4,64,64,True,cl-tohoku/bert-base-japanese-whole-word-masking,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,8
,0.527881,0.515877,bert-base-whm_cat4_batch4_acc8_seed9,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/bert-base-whm_cat4_batch4_acc8_seed9/,raw,6,5,4,64,64,True,cl-tohoku/bert-base-japanese-whole-word-masking,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,9
,0.568807,0.557198,bert-large_cat4_batch4_acc8_seed0,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/bert-large_cat4_batch4_acc8_seed0/,raw,6,5,4,64,64,True,cl-tohoku/bert-large-japanese,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,0
,0.554386,0.548197,bert-large_cat4_batch4_acc8_seed1,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/bert-large_cat4_batch4_acc8_seed1/,raw,6,5,4,64,64,True,cl-tohoku/bert-large-japanese,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,1
,0.484472,0.480887,bert-large_cat4_batch4_acc8_seed2,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/bert-large_cat4_batch4_acc8_seed2/,raw,6,5,4,64,64,True,cl-tohoku/bert-large-japanese,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,2
,0.483034,0.478471,bert-large_cat4_batch4_acc8_seed3,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/bert-large_cat4_batch4_acc8_seed3/,raw,6,5,4,64,64,True,cl-tohoku/bert-large-japanese,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,3
,0.551595,0.551893,bert-large_cat4_batch4_acc8_seed4,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/bert-large_cat4_batch4_acc8_seed4/,raw,6,5,4,64,64,True,cl-tohoku/bert-large-japanese,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,4
,0.581633,0.575102,bert-large_cat4_batch4_acc8_seed5,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/bert-large_cat4_batch4_acc8_seed5/,raw,6,5,4,64,64,True,cl-tohoku/bert-large-japanese,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,5
,0.505882,0.502925,bert-large_cat4_batch4_acc8_seed6,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/bert-large_cat4_batch4_acc8_seed6/,raw,6,5,4,64,64,True,cl-tohoku/bert-large-japanese,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,6
,0.56993,0.567278,bert-large_cat4_batch4_acc8_seed7,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/bert-large_cat4_batch4_acc8_seed7/,raw,6,5,4,64,64,True,cl-tohoku/bert-large-japanese,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,7
,0.540925,0.537761,bert-large_cat4_batch4_acc8_seed8,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/bert-large_cat4_batch4_acc8_seed8/,raw,6,5,4,64,64,True,cl-tohoku/bert-large-japanese,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,8
,0.548387,0.540942,bert-large_cat4_batch4_acc8_seed9,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/bert-large_cat4_batch4_acc8_seed9/,raw,6,5,4,64,64,True,cl-tohoku/bert-large-japanese,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,9
,0.656911,0.657133,xlm-roberta-large_cat4_batch4_acc8_seed0,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/xlm-roberta-large_cat4_batch4_acc8_seed0/,raw,6,5,4,64,64,True,xlm-roberta-large,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,0
,0.605634,0.605784,xlm-roberta-large_cat4_batch4_acc8_seed1,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/xlm-roberta-large_cat4_batch4_acc8_seed1/,raw,6,5,4,64,64,True,xlm-roberta-large,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,1
,0.688245,0.680499,xlm-roberta-large_cat4_batch4_acc8_seed2,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/xlm-roberta-large_cat4_batch4_acc8_seed2/,raw,6,5,4,64,64,True,xlm-roberta-large,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,2
,0.668942,0.672026,xlm-roberta-large_cat4_batch4_acc8_seed3,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/xlm-roberta-large_cat4_batch4_acc8_seed3/,raw,6,5,4,64,64,True,xlm-roberta-large,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,3
,0.688742,0.690639,xlm-roberta-large_cat4_batch4_acc8_seed4,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/xlm-roberta-large_cat4_batch4_acc8_seed4/,raw,6,5,4,64,64,True,xlm-roberta-large,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,4
,0.662379,0.659359,xlm-roberta-large_cat4_batch4_acc8_seed5,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/xlm-roberta-large_cat4_batch4_acc8_seed5/,raw,6,5,4,64,64,True,xlm-roberta-large,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,5
,0.673435,0.672475,xlm-roberta-large_cat4_batch4_acc8_seed6,2,/mnt/sdb/NISHIKA_DATA/hate-speech-detection/output/xlm-roberta-large_cat4_batch4_acc8_seed6/,raw,6,5,4,64,64,True,xlm-roberta-large,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,6
,0.659164,0.655015,xlm-roberta-large_cat4_batch4_acc8_seed7,2,/mnt/sdc/NISHIKA_DATA/hate-speech-detection/output/xlm-roberta-large_cat4_batch4_acc8_seed7/,raw,6,5,4,64,64,True,xlm-roberta-large,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,7
,0.627866,0.623658,xlm-roberta-large_cat4_batch4_acc8_seed8,2,/mnt/sdc/NISHIKA_DATA/hate-speech-detection/output/xlm-roberta-large_cat4_batch4_acc8_seed8/,raw,6,5,4,64,64,True,xlm-roberta-large,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,8
,0.599641,0.593111,xlm-roberta-large_cat4_batch4_acc8_seed9,2,/mnt/sdc/NISHIKA_DATA/hate-speech-detection/output/xlm-roberta-large_cat4_batch4_acc8_seed9/,raw,6,5,4,64,64,True,xlm-roberta-large,concatenate-4,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,9
0.754,0.682616,0.673985,roberta-large_mozafari_batch4_acc8_seed6,2,/mnt/sdc/NISHIKA_DATA/hate-speech-detection/output/roberta-large_mozafari_batch4_acc8_seed6/,raw,6,5,4,64,64,True,nlp-waseda/roberta-large-japanese-seq512,mozafari,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,1314,1e-05,8,,False,6
,0.65411,0.646889,reproduction_test_A,2,./output/reproduction_test_A/,raw,3,3,32,64,64,True,nlp-waseda/roberta-large-japanese-seq512,mozafari,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,164,1e-05,1,,False,42
,0.65411,0.646889,reproduction_test_B,2,./output/reproduction_test_B/,raw,3,3,32,64,64,True,nlp-waseda/roberta-large-japanese-seq512,mozafari,76,0.2,False,,1e-05,CosineAnnealingWithWarmUp,1.0000000000000001e-07,164,1e-05,1,,False,42
